Neighborhood,Latitude,Longitude
Ashok Nagar (Delhi),28.69037000000003,77.17609000000004
Ashok Vihar,28.710598435255907,77.32696519316737
Ashram Chowk,28.50738000000007,77.30346000000003
Babarpur,28.50738000000007,77.30346000000003
"Badarpur, Delhi",28.65223022436032,77.12941079026544
Bali Nagar,28.800590000000057,77.03473000000008
Bawana,28.549540000000036,77.18167000000005
Ber Sarai,28.699880000000064,77.25906000000003
Bhajanpura,28.595060000000046,77.18573000000004
Chanakyapuri,28.656270000000063,77.23232000000007
Chandni Chowk,28.67671000000007,77.21767000000006
"Civil Lines, Delhi",28.633940000000052,77.21968000000004
"Connaught Place, New Delhi",28.60761000000008,77.08714000000003
"Dabri, New Delhi",28.654597885415757,77.2333966005242
Dariba Kalan,28.62832000000003,77.24727000000007
Daryaganj,28.60486000000003,77.08511000000004
Dashrath Puri,28.560590000000047,77.24678000000006
Dayanand Colony,28.57298000000003,77.23357000000004
Defence Colony,28.591510000000028,77.12945000000008
Delhi Cantonment,28.699110000000076,77.19105000000008
Derawal Nagar,28.592220036588714,77.15998300657745
Dhaula Kuan,28.684700000000078,77.32774000000006
Dilshad Colony,28.679040000000043,77.31476000000004
Dilshad Garden,28.589950000000044,77.04004000000003
"Dwarka, Delhi",28.64817000000005,77.17833000000007
East Patel Nagar,28.521130000000028,77.18017000000003
"Gadaipur, Mehrauli, New Delhi",28.528450000000078,77.20354000000003
Geetanjali Enclave,28.49830000000003,77.13596000000007
Ghitorni,28.634100000000046,77.20569000000006
Gole Market,28.603040000000078,77.23269000000005
"Golf Links, New Delhi",28.53508000000005,77.26512000000008
Govindpuri,28.548490000000072,77.23667000000006
Greater Kailash,28.558970000000045,77.20462000000003
"Green Park, Delhi",28.620430000000056,77.04941000000008
Gulabi Bagh,28.55439000000007,77.21252000000004
Gulmohar Park,28.551090000000045,77.20399000000003
Hauz Khas,28.628030000000024,77.14504000000005
Inder Puri,28.627910000000043,77.09060000000005
Janakpuri,28.58340000000004,77.24719000000005
Jangpura,28.546380000000056,77.18897000000004
Jia Sarai,28.689610881623395,77.14105187218237
"Kabir Nagar, New Delhi",28.556130000000053,77.24060000000003
Kailash Colony,28.683760000000063,77.20163000000008
"Kamla Nagar, New Delhi",28.521630000000073,77.08645000000007
"Kapasheda Border, Delhi",28.650450000000035,77.18873000000008
Karol Bagh,28.688010000000077,77.15866000000005
Keshav Puram,28.594100000000026,76.97036000000008
"Khaira, Delhi",28.509630000000072,77.23108000000008
"Khanpur, Delhi",28.657260000000065,77.22284000000008
Khari Baoli,28.711690000000033,77.20197000000007
Kingsway Camp,28.648210000000063,77.14273000000003
Kirti Nagar,28.574350000000038,77.22419000000008
Kotla Mubarakpur Complex,28.65545000000003,77.28336000000007
